1 -0.35 26.65 1477.39
3 -0.35 26.65 849.115
5 -0.35 26.65 819.836
7 -0.35 26.65 744.818
9 -0.35 26.65 660.87
11 -0.35 26.65 562.618
13 -0.35 26.65 607.309
15 -0.35 26.65 347.599
17 -0.35 26.65 408.217
19 -0.35 26.65 314.723
21 -0.35 26.65 330.102
23 -0.35 26.65 235.37
25 -0.35 26.65 349.859
27 -0.35 26.65 342.225
29 -0.35 26.65 291.85
31 -0.35 26.65 287.673
33 -0.35 26.65 284.714
35 -0.35 26.65 309.774
37 -0.35 26.65 506.423
39 -0.35 26.65 593.728
41 -0.35 26.65 636.87
43 -0.35 26.65 668.264
45 -0.35 26.65 448.377
47 -0.35 26.65 384.831
49 -0.35 26.65 294.166
51 -0.35 26.65 245.383
53 -0.35 26.65 234.584
55 -0.35 26.65 265.755
57 -0.35 26.65 217.414
59 -0.35 26.65 215.421
61 -0.35 26.65 254.271
63 -0.35 26.65 230.845
65 -0.35 26.65 217.893
67 -0.35 26.65 216.973
69 -0.35 26.65 260.139
71 -0.35 26.65 187.994
73 -0.35 26.65 176.786
75 -0.35 26.65 161.997
77 -0.35 26.65 120.226
79 -0.35 26.65 147.027
81 -0.35 26.65 188.258
83 -0.35 26.65 173.481
85 -0.35 26.65 200.067
87 -0.35 26.65 199.941
89 -0.35 26.65 230.966
91 -0.35 26.65 250.563
93 -0.35 26.65 268.505
95 -0.35 26.65 273.582
97 -0.35 26.65 267.329
99 -0.35 26.65 226.622
101 -0.35 26.65 210.835
103 -0.35 26.65 201.971
105 -0.35 26.65 224.91
107 -0.35 26.65 190.574
109 -0.35 26.65 260.652
111 -0.35 26.65 323.985
113 -0.35 26.65 279.94
115 -0.35 26.65 331.119
117 -0.35 26.65 311.281
119 -0.35 26.65 339.081
121 -0.35 26.65 292.934
123 -0.35 26.65 270.821
125 -0.35 26.65 331.67
127 -0.35 26.65 384.444
129 -0.35 26.65 426.799
131 -0.35 26.65 463.674
133 -0.35 26.65 513.596
135 -0.35 26.65 593.724
137 -0.35 26.65 568.577
139 -0.35 26.65 579.763
141 -0.35 26.65 578.036
143 -0.35 26.65 542.805
145 -0.35 26.65 487.746
147 -0.35 26.65 417.066
149 -0.35 26.65 369.795
151 -0.35 26.65 302.92
153 -0.35 26.65 279.342
155 -0.35 26.65 351.924
157 -0.35 26.65 396.958
159 -0.35 26.65 579.503
161 -0.35 26.65 718.567
163 -0.35 26.65 695.64
165 -0.35 26.65 692.754
167 -0.35 26.65 672.72
169 -0.35 26.65 719.029
171 -0.35 26.65 716
173 -0.35 26.65 621.064
175 -0.35 26.65 649.894
177 -0.35 26.65 673.824
179 -0.35 26.65 607.317
181 -0.35 26.65 567.521
183 -0.35 26.65 517.739
185 -0.35 26.65 445.919
187 -0.35 26.65 414.427
189 -0.35 26.65 388.894
191 -0.35 26.65 371.596
193 -0.35 26.65 375.022
195 -0.35 26.65 378.543
197 -0.35 26.65 396.628
199 -0.35 26.65 500.55
201 -0.35 26.65 386.352
203 -0.35 26.65 393.066
205 -0.35 26.65 324.616
207 -0.35 26.65 362.705
209 -0.35 26.65 362.177
211 -0.35 26.65 406.44
